w,c1,c2,makespan
0.1,0.1,0.1,1664
0.1,0.1,0.5,1642
0.1,0.1,0.9,1629
0.1,0.1,1.3,1648
0.1,0.1,1.6999999,1634
0.1,0.5,0.1,1635
0.1,0.5,0.5,1583
0.1,0.5,0.9,1644
0.1,0.5,1.3,1599
0.1,0.5,1.6999999,1637
0.1,0.9,0.1,1664
0.1,0.9,0.5,1645
0.1,0.9,0.9,1642
0.1,0.9,1.3,1663
0.1,0.9,1.6999999,1655
0.1,1.3,0.1,1633
0.1,1.3,0.5,1604
0.1,1.3,0.9,1640
0.1,1.3,1.3,1595
0.1,1.3,1.6999999,1654
0.1,1.6999999,0.1,1658
0.1,1.6999999,0.5,1625
0.1,1.6999999,0.9,1680
0.1,1.6999999,1.3,1634
0.1,1.6999999,1.6999999,1608
0.3,0.1,0.1,1597
0.3,0.1,0.5,1639
0.3,0.1,0.9,1559
0.3,0.1,1.3,1627
0.3,0.1,1.6999999,1619
0.3,0.5,0.1,1580
0.3,0.5,0.5,1651
0.3,0.5,0.9,1650
0.3,0.5,1.3,1646
0.3,0.5,1.6999999,1640
0.3,0.9,0.1,1639
0.3,0.9,0.5,1660
0.3,0.9,0.9,1584
0.3,0.9,1.3,1632
0.3,0.9,1.6999999,1654
0.3,1.3,0.1,1625
0.3,1.3,0.5,1677
0.3,1.3,0.9,1640
0.3,1.3,1.3,1654
0.3,1.3,1.6999999,1603
0.3,1.6999999,0.1,1647
0.3,1.6999999,0.5,1621
0.3,1.6999999,0.9,1629
0.3,1.6999999,1.3,1617
0.3,1.6999999,1.6999999,1605
0.5,0.1,0.1,1590
0.5,0.1,0.5,1615
0.5,0.1,0.9,1703
0.5,0.1,1.3,1617
0.5,0.1,1.6999999,1631
0.5,0.5,0.1,1661
0.5,0.5,0.5,1668
0.5,0.5,0.9,1626
0.5,0.5,1.3,1607
0.5,0.5,1.6999999,1614
0.5,0.9,0.1,1623
0.5,0.9,0.5,1608
0.5,0.9,0.9,1682
0.5,0.9,1.3,1639
0.5,0.9,1.6999999,1635
0.5,1.3,0.1,1609
0.5,1.3,0.5,1639
0.5,1.3,0.9,1589
0.5,1.3,1.3,1627
0.5,1.3,1.6999999,1649
0.5,1.6999999,0.1,1642
0.5,1.6999999,0.5,1650
0.5,1.6999999,0.9,1656
0.5,1.6999999,1.3,1580
0.5,1.6999999,1.6999999,1607
0.7,0.1,0.1,1579
0.7,0.1,0.5,1617
0.7,0.1,0.9,1589
0.7,0.1,1.3,1678
0.7,0.1,1.6999999,1618
0.7,0.5,0.1,1684
0.7,0.5,0.5,1590
0.7,0.5,0.9,1590
0.7,0.5,1.3,1624
0.7,0.5,1.6999999,1616
0.7,0.9,0.1,1641
0.7,0.9,0.5,1651
0.7,0.9,0.9,1665
0.7,0.9,1.3,1644
0.7,0.9,1.6999999,1658
0.7,1.3,0.1,1631
0.7,1.3,0.5,1590
0.7,1.3,0.9,1617
0.7,1.3,1.3,1640
0.7,1.3,1.6999999,1603
0.7,1.6999999,0.1,1594
0.7,1.6999999,0.5,1598
0.7,1.6999999,0.9,1670
0.7,1.6999999,1.3,1631
0.7,1.6999999,1.6999999,1694
0.9,0.1,0.1,1574
0.9,0.1,0.5,1641
0.9,0.1,0.9,1595
0.9,0.1,1.3,1598
0.9,0.1,1.6999999,1626
0.9,0.5,0.1,1635
0.9,0.5,0.5,1637
0.9,0.5,0.9,1624
0.9,0.5,1.3,1636
0.9,0.5,1.6999999,1591
0.9,0.9,0.1,1624
0.9,0.9,0.5,1622
0.9,0.9,0.9,1609
0.9,0.9,1.3,1588
0.9,0.9,1.6999999,1652
0.9,1.3,0.1,1624
0.9,1.3,0.5,1662
0.9,1.3,0.9,1662
0.9,1.3,1.3,1598
0.9,1.3,1.6999999,1638
0.9,1.6999999,0.1,1617
0.9,1.6999999,0.5,1645
0.9,1.6999999,0.9,1625
0.9,1.6999999,1.3,1647
0.9,1.6999999,1.6999999,1663
Best parameters: w: 0.3, c1: 0.1, c2: 0.9
